46.894,4.283,-0.69761,-9.0974,-9.635,-13.193,7.4341,0.93881,4.275,-2.9777,-8.2545,3.2789,4.4112,0.73175,20.382,-17.331,-32.904,22.925,6.2886,14.849,-4.472,-13.447,-9.1493,-7.7123,-24.603
4.283,51.632,7.2023,-8.2119,-4.2909,3.1665,4.8761,1.332,3.3263,-5.056,-22.459,-5.8707,12.534,19.918,27.496,-26.401,-6.7208,1.2494,-8.9314,20.667,3.2472,-5.3211,-2.3525,1.3674,-10.949
-0.69761,7.2023,44.487,5.8465,-5.8865,2.4781,3.5747,2.0958,-7.521,-0.81441,-5.2155,15.311,1.0137,8.491,9.2396,-0.40794,-2.6532,12.545,-7.5424,1.6107,-12.523,-4.9178,-5.1184,3.327,-16.39
-9.0974,-8.2119,5.8465,51.595,0.90905,2.7342,3.7655,-3.9697,6.2674,-0.34203,14.232,1.7644,-15.327,3.598,-12.569,7.4533,21.242,-9.3387,-3.7716,-22.094,9.4527,1.8753,17.429,2.4824,9.0234
-9.635,-4.2909,-5.8865,0.90905,31.024,-1.2294,-3.3413,-6.2412,-5.408,-12.441,3.1822,-9.0836,-15.587,-3.081,-16.774,8.6341,4.8121,2.8795,7.8672,-18.463,-0.25598,-1.433,4.3753,0.79572,10.787
-13.193,3.1665,2.4781,2.7342,-1.2294,29.753,2.5987,8.9669,-6.9613,6.8014,0.80434,1.8921,2.585,-8.5807,-6.6697,13.459,11.151,-6.2468,-10.629,8.4527,-2.1876,9.4767,-5.7347,4.2271,12.891
7.4341,4.8761,3.5747,3.7655,-3.3413,2.5987,67.697,-10.737,7.9363,23.101,-4.0594,-12.175,8.0804,-20.156,13.775,-6.6183,-15.326,9.4406,2.2116,-10.149,-14.895,-29.776,4.1704,-1.6377,-14.968
0.93881,1.332,2.0958,-3.9697,-6.2412,8.9669,-10.737,32.307,-5.5917,5.6298,-4.9323,14.171,3.9642,0.50783,-0.84945,5.5773,-10.279,0.45863,-9.5259,31.255,-3.4766,5.6697,-11.954,5.1984,2.8438
4.275,3.3263,-7.521,6.2674,-5.408,-6.9613,7.9363,-5.5917,36.565,-2.0237,-1.7564,-9.3203,1.5735,4.8747,5.4144,-11.358,-8.3783,0.7562,-10.025,-0.59468,14.235,1.2675,18.767,6.4985,0.27914
-2.9777,-5.056,-0.81441,-0.34203,-12.441,6.8014,23.101,5.6298,-2.0237,37.201,0.36485,7.3935,17.827,-17.132,10.652,8.0941,-5.0178,-7.444,-8.9436,13.798,-6.5855,2.9544,-3.132,2.2599,0.49972
-8.2545,-22.459,-5.2155,14.232,3.1822,0.80434,-4.0594,-4.9323,-1.7564,0.36485,51.804,-12.251,-14.692,-13.561,-18.627,13.522,14.621,-2.7118,-0.016702,-25.195,7.2396,-4.7,11.499,0.26761,15.654
3.2789,-5.8707,15.311,1.7644,-9.0836,1.8921,-12.175,14.171,-9.3203,7.3935,-12.251,77.117,18.717,7.179,17.103,4.3239,-28.509,2.7284,-12.49,41.369,-10.949,14.924,-19.861,2.9665,-15.482
4.4112,12.534,1.0137,-15.327,-15.587,2.585,8.0804,3.9642,1.5735,17.827,-14.692,18.717,44.017,9.4143,27.412,-6.6725,-16.636,-4.7953,-14.509,29.419,0.54717,-0.46185,-11.167,-2.6789,-7.8089
0.73175,19.918,8.491,3.598,-3.081,-8.5807,-20.156,0.50783,4.8747,-17.132,-13.561,7.179,9.4143,68.679,25.846,-23.164,-7.8499,3.5656,-15.051,12.469,2.3594,-4.7144,-2.4434,3.5341,-11.351
20.382,27.496,9.2396,-12.569,-16.774,-6.6697,13.775,-0.84945,5.4144,10.652,-18.627,17.103,27.412,25.846,90.749,-38.739,-16.793,13.454,-15.574,26.594,-23.916,-17.728,-19.597,-2.7427,-45.646
