0.99385,-0.27122,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.27122,1.0617,-0.40414,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.40414,0.6386,0.078028,0,0,0,0,0,0,0,0,0,0,0
0,0,0.078028,0.83092,-0.12571,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.12571,0.86738,0.27968,0,0,0,0,0,0,0,0,0
0,0,0,0,0.27968,0.71027,0.088425,0,0,0,0,0,0,0,0
0,0,0,0,0,0.088425,0.7466,0.25129,0,0,0,0,0,0,0
0,0,0,0,0,0,0.25129,0.62594,-0.18998,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.18998,1.1307,0.3948,0,0,0,0,0
0,0,0,0,0,0,0,0,0.3948,1.0944,-0.24053,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.24053,0.68967,0.038682,0,0,0
0,0,0,0,0,0,0,0,0,0,0.038682,0.74038,0.3121,0,0
0,0,0,0,0,0,0,0,0,0,0,0.3121,0.59952,0.26987,0
0,0,0,0,0,0,0,0,0,0,0,0,0.26987,1.0428,0.70325
0,0,0,0,0,0,0,0,0,0,0,0,0,0.70325,2.0425
