6.8908,-2.4544,0.45629,1.3757,1.0487,0.53778,1.6376,-4.1942,-0.085662,1.7608
-2.4544,4.221,-2.1775,0.33375,0.97953,1.0638,0.78931,0.028164,0.014661,-1.3696
0.45629,-2.1775,4.3677,-2.3999,-1.2514,-2.4747,-0.082686,2.0473,-0.57892,0.32249
1.3757,0.33375,-2.3999,5.2074,0.42054,1.322,1.1236,-1.9378,-1.2636,0.58309
1.0487,0.97953,-1.2514,0.42054,2.0183,1.25,0.12697,-1.2558,0.55996,-0.065884
0.53778,1.0638,-2.4747,1.322,1.25,2.4565,0.23819,-1.5184,1.2905,0.53515
1.6376,0.78931,-0.082686,1.1236,0.12697,0.23819,2.8363,-1.2556,0.050882,0.3621
-4.1942,0.028164,2.0473,-1.9378,-1.2558,-1.5184,-1.2556,5.317,0.41352,-0.61874
-0.085662,0.014661,-0.57892,-1.2636,0.55996,1.2905,0.050882,0.41352,2.8641,0.58917
1.7608,-1.3696,0.32249,0.58309,-0.065884,0.53515,0.3621,-0.61874,0.58917,1.5973
