32.495,10.475,-3.4774,1.6076,-5.2576,-2.9572,4.6535,3.4067,-2.3166,6.0779
10.475,21.592,-8.234,-4.526,-0.4479,-1.5702,4.6637,2.4469,-0.84042,-3.5562
-3.4774,-8.234,29.375,2.6419,2.6275,-5.1241,-6.4099,-2.2755,-1.3704,10.541
1.6076,-4.526,2.6419,23.887,0.412,-4.9217,5.1764,-7.2492,-10.277,-4.8245
-5.2576,-0.4479,2.6275,0.412,33.127,-24.933,8.6708,8.7526,13.031,3.7366
-2.9572,-1.5702,-5.1241,-4.9217,-24.933,48.645,-25.72,-6.9789,-18.143,-4.4369
4.6535,4.6637,-6.4099,5.1764,8.6708,-25.72,29.278,4.8536,7.6055,-3.7372
3.4067,2.4469,-2.2755,-7.2492,8.7526,-6.9789,4.8536,17.445,2.9695,2.8113
-2.3166,-0.84042,-1.3704,-10.277,13.031,-18.143,7.6055,2.9695,42.165,13.535
6.0779,-3.5562,10.541,-4.8245,3.7366,-4.4369,-3.7372,2.8113,13.535,24.386
